0	-0.883067	0.469247
1	-0.170317	1.170666
2	-1.116162	1.495284
3	-2.097888	1.685584
4	-1.187282	2.098858
5	-0.347297	2.641468
6	0.476226	3.208751
7	1.097036	3.992712
8	0.156470	4.332321
9	0.149521	5.332297
10	1.141906	5.209127
11	0.464787	5.945001
12	0.366371	6.940146
13	0.237453	5.948491
14	-0.233742	6.830520
15	-0.441582	7.808683
16	-1.080457	7.039373
17	-2.070874	6.901266
18	-2.838312	6.260142
19	-2.176094	7.009454
20	-1.590511	6.198842
21	-0.736592	5.678435
22	-1.735850	5.716950
23	-2.119975	4.793668
24	-3.072482	4.489151
25	-3.986420	4.895003
26	-4.706319	4.200924
27	-3.707830	4.255868
28	-4.625292	4.653691
29	-3.697883	5.027741
30	-4.245911	4.191280
31	-4.599316	5.126751
32	-3.638443	4.849762
33	-2.704759	5.207861
34	-3.459941	5.863376
35	-3.833519	4.935778
36	-4.343000	5.796259
37	-4.973795	6.572209
38	-4.967002	7.572186
39	-5.813007	8.105360
40	-6.573320	8.754918
41	-6.272805	7.801140
42	-7.015849	7.131898
43	-7.800738	6.512262
44	-7.929753	5.520619
45	-8.619421	6.244745
46	-8.722694	5.250092
47	-9.654006	4.885868
48	-8.936297	5.582212
49	-9.501698	6.407029
50	-8.707213	7.014312
51	-7.708138	6.971305
52	-8.108475	7.887673
53	-7.139397	7.640918
54	-6.503857	6.868850
55	-5.635627	6.372689
56	-5.369620	5.408718
57	-6.238205	5.904259
58	-5.734914	5.040141
59	-4.741611	4.924600
60	-4.127606	4.135298
61	-3.145497	3.946984
62	-4.106364	4.223993
63	-4.072009	5.223403
64	-4.382423	6.174004
65	-5.353019	5.933291
66	-4.587541	6.576753
67	-5.014551	7.480999
68	-4.016748	7.547250
69	-4.117338	6.552322
70	-5.100697	6.733994
71	-5.326000	5.759705
72	-6.083496	5.106865
73	-6.394703	4.156523
74	-7.274716	3.681574
75	-6.501253	4.315415
76	-7.482994	4.125194
77	-7.377453	5.119609
78	-6.383196	5.226629
79	-5.568125	5.805989
80	-5.681541	4.812441
81	-4.681545	4.815289
82	-4.036120	4.051466
83	-3.640740	3.132948
84	-3.123828	2.276910
85	-2.456476	1.532167
86	-2.401913	2.530678
87	-2.198521	3.509775
88	-2.194001	4.509765
89	-2.455704	3.544617
90	-3.366039	3.958490
91	-2.597949	3.318147
92	-2.798565	4.297817
